variant,units,time_s,gflops,speedup,efficiency_pct
serial,1,0.256809,8.362,1.000,100.00
openmp,1,0.435000,4.937,0.590,59.04
openmp,2,0.255000,8.422,1.007,50.35
openmp,4,0.148000,14.510,1.735,43.38
openmp,8,0.114000,18.838,2.253,28.16
openmp,16,0.121000,17.748,2.122,13.26
pthreads,1,0.438437,4.898,0.586,58.57
pthreads,2,0.231865,9.262,1.108,55.38
pthreads,4,0.141525,15.174,1.815,45.36
pthreads,8,0.110765,19.388,2.319,28.98
pthreads,16,0.119347,17.994,2.152,13.45
mpi,1,0.248812,8.631,1.032,103.21
mpi,2,0.199290,10.776,1.289,64.43
mpi,4,0.135661,15.830,1.893,47.33
mpi,8,0.156066,13.760,1.646,20.57
mpi,16,0.174474,12.308,1.472,9.20
